Dataset,Method,N_Features,Feature,MeanAbsSHAP,StdAbsSHAP
baseline_male,Boruta,20,std_12th_delta_delta (MFCC),0.007648888888888887,0.00836370920295724
baseline_male,Boruta,20,tqwt_stdValue_dec_12 (TQWT),0.007648148148148147,0.009917960074922173
baseline_male,Boruta,20,std_8th_delta (MFCC),0.007371674491392801,0.0075444153726400825
baseline_male,Boruta,20,tqwt_stdValue_dec_13 (TQWT),0.006188888888888888,0.004758599203732793
baseline_male,Boruta,20,std_10th_delta_delta (MFCC),0.006110441767068274,0.0060040650679266646
baseline_female,Boruta,20,tqwt_energy_dec_26 (TQWT),0.05027116402116401,0.030779543958263246
baseline_female,Boruta,20,std_delta_delta_log_energy (MFCC),0.04676958105646631,0.031702849369571316
baseline_female,Boruta,20,mean_MFCC_2nd_coef (MFCC),0.035834381551362676,0.027733026322156046
baseline_female,Boruta,20,tqwt_entropy_log_dec_12 (TQWT),0.03116540404040404,0.01745116166181941
baseline_female,Boruta,20,std_delta_log_energy (MFCC),0.028476320582877957,0.02322559702309693
baseline_female,Boruta,20,tqwt_kurtosisValue_dec_18 (TQWT),0.02765873015873015,0.015763894853505617
baseline_female,Boruta,20,tqwt_entropy_log_dec_33 (TQWT),0.02408119658119658,0.018075054832769034
baseline_female,Boruta,20,std_6th_delta_delta (MFCC),0.023705828779599272,0.020088960810598213
baseline_female,Boruta,20,std_7th_delta_delta (MFCC),0.021924863387978142,0.012977508393605291
baseline_female,Boruta,20,tqwt_entropy_shannon_dec_12 (TQWT),0.021459595959595956,0.017645951670366006
baseline_female,Boruta,20,tqwt_TKEO_std_dec_12 (TQWT),0.01970138888888889,0.018604029167833082
baseline_female,Boruta,20,tqwt_maxValue_dec_12 (TQWT),0.01966666666666667,0.011618978842568
baseline_female,Boruta,20,tqwt_TKEO_std_dec_13 (TQWT),0.018503472222222227,0.013724298549138262
baseline_female,Boruta,20,tqwt_entropy_log_dec_35 (TQWT),0.018329059829059823,0.02062030434297591
baseline_female,Boruta,20,tqwt_energy_dec_12 (TQWT),0.01821367521367521,0.0182705911320488
baseline_female,Boruta,20,std_9th_delta_delta (MFCC),0.018152094717668484,0.01682090097025048
baseline_female,Boruta,20,std_6th_delta (MFCC),0.017338574423480083,0.011609902788407548
baseline_female,Boruta,20,tqwt_entropy_log_dec_34 (TQWT),0.016391025641025642,0.015070249806736094
baseline_female,Boruta,20,tqwt_energy_dec_27 (TQWT),0.01610763888888889,0.00920892834208269
baseline_female,Boruta,20,tqwt_TKEO_mean_dec_13 (TQWT),0.015569444444444447,0.009914041510410069
baseline_female,Boruta,20,tqwt_TKEO_mean_dec_12 (TQWT),0.015416666666666665,0.014429909517257412
baseline_female,Boruta,20,std_7th_delta (MFCC),0.014789832285115306,0.010258639748601504
baseline_female,Boruta,20,apq11Shimmer (Baseline),0.014297008547008544,0.009570489131662092
baseline_female,Boruta,20,tqwt_entropy_log_dec_11 (TQWT),0.014172222222222223,0.011349472333008214
baseline_female,Boruta,20,tqwt_stdValue_dec_11 (TQWT),0.014067307692307697,0.010869423405950884
baseline_female,Boruta,20,tqwt_energy_dec_11 (TQWT),0.013832638888888886,0.01574689757816464
baseline_female,Boruta,20,std_12th_delta_delta (MFCC),0.013696581196581192,0.012963422389566734
baseline_female,Boruta,20,std_11th_delta_delta (MFCC),0.012205128205128205,0.012113339309743999
baseline_female,Boruta,20,std_8th_delta_delta (MFCC),0.012027322404371585,0.00956642309497903
baseline_female,Boruta,20,tqwt_stdValue_dec_12 (TQWT),0.01196825396825397,0.009918476715194956
baseline_female,Boruta,20,std_9th_delta (MFCC),0.01160063752276867,0.010983291428904094
baseline_female,Boruta,20,tqwt_entropy_shannon_dec_11 (TQWT),0.011349358974358974,0.01159838356748688
baseline_female,Boruta,20,std_12th_delta (MFCC),0.011226495726495728,0.008379223186631396
baseline_female,Boruta,20,std_8th_delta (MFCC),0.010454166666666672,0.009477774105720722
