Dataset,Method,N_Features,Classifier,Fold,MCC,F1,Sensitivity,Specificity,Balanced_Accuracy,Accuracy
baseline_female,Boruta,50,NaiveBayes,3,0.6666666666666666,0.8387096774193548,0.7222222222222222,1.0,0.8611111111111112,0.8076923076923077
baseline_female,Boruta,50,LogisticRegression,3,0.5,0.7741935483870968,0.6666666666666666,0.875,0.7708333333333333,0.7307692307692307
baseline_female,Boruta,50,AdaBoost,3,0.3333333333333333,0.7096774193548387,0.6111111111111112,0.75,0.6805555555555556,0.6538461538461539
baseline_female,Boruta,50,AdaBoost_TUNED,3,0.4411494016915297,0.7878787878787877,0.7222222222222222,0.75,0.7361111111111112,0.7307692307692307
baseline_female,Boruta,50,SVM_RBF,3,0.8194444444444444,0.9444444444444444,0.9444444444444444,0.875,0.9097222222222222,0.9230769230769231
baseline_female,Boruta,50,SVM_RBF_TUNED,3,0.6388888888888888,0.8888888888888888,0.8888888888888888,0.75,0.8194444444444444,0.8461538461538461
baseline_female,Boruta,60,RandomForest,3,0.9162456945817024,0.9714285714285714,0.9444444444444444,1.0,0.9722222222222222,0.9615384615384616
baseline_female,Boruta,60,RandomForest_TUNED,3,0.9162456945817024,0.9714285714285714,0.9444444444444444,1.0,0.9722222222222222,0.9615384615384616
baseline_female,Boruta,60,NeuralNetwork,3,0.6388888888888888,0.8888888888888888,0.8888888888888888,0.75,0.8194444444444444,0.8461538461538461
baseline_female,Boruta,60,NeuralNetwork_TUNED,3,0.8194444444444444,0.9444444444444444,0.9444444444444444,0.875,0.9097222222222222,0.9230769230769231
baseline_female,Boruta,60,NaiveBayes,3,0.6172133998483676,0.8,0.6666666666666666,1.0,0.8333333333333333,0.7692307692307693
baseline_female,Boruta,60,LogisticRegression,3,0.778498944161523,0.9090909090909091,0.8333333333333334,1.0,0.9166666666666667,0.8846153846153846
baseline_female,Boruta,60,AdaBoost,3,0.7410810764999063,0.9142857142857143,0.8888888888888888,0.875,0.8819444444444444,0.8846153846153846
baseline_female,Boruta,60,AdaBoost_TUNED,3,0.6666666666666666,0.8387096774193548,0.7222222222222222,1.0,0.8611111111111112,0.8076923076923077
baseline_female,Boruta,60,SVM_RBF,3,0.8194444444444444,0.9444444444444444,0.9444444444444444,0.875,0.9097222222222222,0.9230769230769231
baseline_female,Boruta,60,SVM_RBF_TUNED,3,0.8194444444444444,0.9444444444444444,0.9444444444444444,0.875,0.9097222222222222,0.9230769230769231
baseline_female,Boruta,70,RandomForest,3,0.9162456945817024,0.9714285714285714,0.9444444444444444,1.0,0.9722222222222222,0.9615384615384616
baseline_female,Boruta,70,RandomForest_TUNED,3,0.9162456945817024,0.9714285714285714,0.9444444444444444,1.0,0.9722222222222222,0.9615384615384616
baseline_female,Boruta,70,NeuralNetwork,3,0.7410810764999063,0.9142857142857143,0.8888888888888888,0.875,0.8819444444444444,0.8846153846153846
baseline_female,Boruta,70,NeuralNetwork_TUNED,3,0.7410810764999063,0.9142857142857143,0.8888888888888888,0.875,0.8819444444444444,0.8846153846153846
baseline_female,Boruta,70,NaiveBayes,3,0.6172133998483676,0.8,0.6666666666666666,1.0,0.8333333333333333,0.7692307692307693
baseline_female,Boruta,70,LogisticRegression,3,0.8432740427115678,0.9411764705882353,0.8888888888888888,1.0,0.9444444444444444,0.9230769230769231
baseline_female,Boruta,70,AdaBoost,3,0.6719840027857806,0.8823529411764706,0.8333333333333334,0.875,0.8541666666666667,0.8461538461538461
baseline_female,Boruta,70,AdaBoost_TUNED,3,0.7200822998230956,0.8750000000000001,0.7777777777777778,1.0,0.8888888888888888,0.8461538461538461
baseline_female,Boruta,70,SVM_RBF,3,0.8194444444444444,0.9444444444444444,0.9444444444444444,0.875,0.9097222222222222,0.9230769230769231
baseline_female,Boruta,70,SVM_RBF_TUNED,3,0.6237951349364392,0.8947368421052632,0.9444444444444444,0.625,0.7847222222222222,0.8461538461538461
baseline_female,Boruta,80,RandomForest,3,0.9162456945817024,0.9714285714285714,0.9444444444444444,1.0,0.9722222222222222,0.9615384615384616
baseline_female,Boruta,80,RandomForest_TUNED,3,0.9162456945817024,0.9714285714285714,0.9444444444444444,1.0,0.9722222222222222,0.9615384615384616
baseline_female,Boruta,80,NeuralNetwork,3,0.7410810764999063,0.9142857142857143,0.8888888888888888,0.875,0.8819444444444444,0.8846153846153846
