Dataset,Method,N_Features,Classifier,Fold,MCC,F1,Sensitivity,Specificity,Balanced_Accuracy,Accuracy
baseline,mRMR,40,RandomForest,2,0.24023053582400655,0.8205128205128205,0.8421052631578947,0.38461538461538464,0.6133603238866396,0.7254901960784313
baseline,mRMR,40,RandomForest_TUNED,2,0.24023053582400655,0.8205128205128205,0.8421052631578947,0.38461538461538464,0.6133603238866396,0.7254901960784313
baseline,mRMR,40,NeuralNetwork,2,0.3193520527015302,0.8500000000000001,0.8947368421052632,0.38461538461538464,0.6396761133603239,0.7647058823529411
baseline,mRMR,40,NeuralNetwork_TUNED,2,0.24023053582400655,0.8205128205128205,0.8421052631578947,0.38461538461538464,0.6133603238866396,0.7254901960784313
baseline,mRMR,40,NaiveBayes,2,0.2773279352226721,0.8157894736842104,0.8157894736842105,0.46153846153846156,0.638663967611336,0.7254901960784313
baseline,mRMR,40,LogisticRegression,2,0.3136567659107953,0.8108108108108109,0.7894736842105263,0.5384615384615384,0.6639676113360324,0.7254901960784313
baseline,mRMR,40,AdaBoost,2,0.38025287619610154,0.8219178082191781,0.7894736842105263,0.6153846153846154,0.7024291497975709,0.7450980392156863
baseline,mRMR,40,AdaBoost_TUNED,2,0.3136567659107953,0.8108108108108109,0.7894736842105263,0.5384615384615384,0.6639676113360324,0.7254901960784313
baseline,mRMR,40,SVM_RBF,2,0.42044095640556883,0.8780487804878049,0.9473684210526315,0.38461538461538464,0.6659919028340081,0.803921568627451
baseline,mRMR,40,SVM_RBF_TUNED,2,0.36629775046030444,0.8641975308641974,0.9210526315789473,0.38461538461538464,0.652834008097166,0.7843137254901961
baseline,mRMR,50,RandomForest,2,0.2777503469992803,0.8354430379746836,0.868421052631579,0.38461538461538464,0.6265182186234818,0.7450980392156863
baseline,mRMR,50,RandomForest_TUNED,2,0.2777503469992803,0.8354430379746836,0.868421052631579,0.38461538461538464,0.6265182186234818,0.7450980392156863
baseline,mRMR,50,NeuralNetwork,2,0.3193520527015302,0.8500000000000001,0.8947368421052632,0.38461538461538464,0.6396761133603239,0.7647058823529411
baseline,mRMR,50,NeuralNetwork_TUNED,2,0.20133064192052993,0.825,0.868421052631579,0.3076923076923077,0.5880566801619433,0.7254901960784313
baseline,mRMR,50,NaiveBayes,2,0.2773279352226721,0.8157894736842104,0.8157894736842105,0.46153846153846156,0.638663967611336,0.7254901960784313
baseline,mRMR,50,LogisticRegression,2,0.20071388679202368,0.742857142857143,0.6842105263157895,0.5384615384615384,0.611336032388664,0.6470588235294118
baseline,mRMR,50,AdaBoost,2,0.3805668016194332,0.8421052631578947,0.8421052631578947,0.5384615384615384,0.6902834008097165,0.7647058823529411
baseline,mRMR,50,AdaBoost_TUNED,2,0.3805668016194332,0.8421052631578947,0.8421052631578947,0.5384615384615384,0.6902834008097165,0.7647058823529411
baseline,mRMR,50,SVM_RBF,2,0.34500484066310094,0.8674698795180723,0.9473684210526315,0.3076923076923077,0.6275303643724697,0.7843137254901961
baseline,mRMR,50,SVM_RBF_TUNED,2,0.16406940580098942,0.8470588235294116,0.9473684210526315,0.15384615384615385,0.5506072874493927,0.7450980392156863
baseline,mRMR,60,RandomForest,2,0.2777503469992803,0.8354430379746836,0.868421052631579,0.38461538461538464,0.6265182186234818,0.7450980392156863
baseline,mRMR,60,RandomForest_TUNED,2,0.2777503469992803,0.8354430379746836,0.868421052631579,0.38461538461538464,0.6265182186234818,0.7450980392156863
baseline,mRMR,60,NeuralNetwork,2,0.24258129169556586,0.8395061728395061,0.8947368421052632,0.3076923076923077,0.6012145748987854,0.7450980392156863
baseline,mRMR,60,NeuralNetwork_TUNED,2,0.2777503469992803,0.8354430379746836,0.868421052631579,0.38461538461538464,0.6265182186234818,0.7450980392156863
baseline,mRMR,60,NaiveBayes,2,0.21491296923517456,0.7837837837837838,0.7631578947368421,0.46153846153846156,0.6123481781376519,0.6862745098039216
baseline,mRMR,60,LogisticRegression,2,0.34995661963667773,0.8055555555555555,0.7631578947368421,0.6153846153846154,0.6892712550607287,0.7254901960784313
baseline,mRMR,60,AdaBoost,2,0.34594709999533957,0.8266666666666665,0.8157894736842105,0.5384615384615384,0.6771255060728745,0.7450980392156863
baseline,mRMR,60,AdaBoost_TUNED,2,0.41240056258641605,0.8378378378378377,0.8157894736842105,0.6153846153846154,0.715587044534413,0.7647058823529411
baseline,mRMR,60,SVM_RBF,2,0.16406940580098942,0.8470588235294116,0.9473684210526315,0.15384615384615385,0.5506072874493927,0.7450980392156863
baseline,mRMR,60,SVM_RBF_TUNED,2,0.16406940580098942,0.8470588235294116,0.9473684210526315,0.15384615384615385,0.5506072874493927,0.7450980392156863
baseline,mRMR,70,RandomForest,2,0.2777503469992803,0.8354430379746836,0.868421052631579,0.38461538461538464,0.6265182186234818,0.7450980392156863
baseline,mRMR,70,RandomForest_TUNED,2,0.2777503469992803,0.8354430379746836,0.868421052631579,0.38461538461538464,0.6265182186234818,0.7450980392156863
baseline,mRMR,70,NeuralNetwork,2,0.2896940736209102,0.8536585365853658,0.9210526315789473,0.3076923076923077,0.6143724696356275,0.7647058823529411
baseline,mRMR,70,NeuralNetwork_TUNED,2,0.36629775046030444,0.8641975308641974,0.9210526315789473,0.38461538461538464,0.652834008097166,0.7843137254901961
baseline,mRMR,70,NaiveBayes,2,0.24512823085384058,0.8,0.7894736842105263,0.46153846153846156,0.6255060728744939,0.7058823529411765
baseline,mRMR,70,LogisticRegression,2,0.3805668016194332,0.8421052631578947,0.8421052631578947,0.5384615384615384,0.6902834008097165,0.7647058823529411
baseline,mRMR,70,AdaBoost,2,0.34594709999533957,0.8266666666666665,0.8157894736842105,0.5384615384615384,0.6771255060728745,0.7450980392156863
baseline,mRMR,70,AdaBoost_TUNED,2,0.3805668016194332,0.8421052631578947,0.8421052631578947,0.5384615384615384,0.6902834008097165,0.7647058823529411
baseline,mRMR,70,SVM_RBF,2,0.23620866709956997,0.8604651162790697,0.9736842105263158,0.15384615384615385,0.5637651821862348,0.7647058823529411
baseline,mRMR,70,SVM_RBF_TUNED,2,0.16406940580098942,0.8470588235294116,0.9473684210526315,0.15384615384615385,0.5506072874493927,0.7450980392156863
baseline,mRMR,80,RandomForest,2,0.24023053582400655,0.8205128205128205,0.8421052631578947,0.38461538461538464,0.6133603238866396,0.7254901960784313
baseline,mRMR,80,RandomForest_TUNED,2,0.24023053582400655,0.8205128205128205,0.8421052631578947,0.38461538461538464,0.6133603238866396,0.7254901960784313
