Dataset,Method,N_Features,Feature,MeanAbsSHAP,StdAbsSHAP
baseline_female,Boruta,20,tqwt_TKEO_std_dec_13 (TQWT),0.018503472222222223,0.013724298549138262
baseline_female,Boruta,20,tqwt_entropy_log_dec_35 (TQWT),0.01832905982905983,0.02062030434297591
baseline_female,Boruta,20,tqwt_energy_dec_12 (TQWT),0.01821367521367522,0.0182705911320488
baseline_female,Boruta,20,std_9th_delta_delta (MFCC),0.018152094717668484,0.01682090097025048
baseline_female,Boruta,20,std_6th_delta (MFCC),0.017338574423480087,0.011609902788407548
baseline_female,Boruta,20,tqwt_entropy_log_dec_34 (TQWT),0.016391025641025642,0.015070249806736094
baseline_female,Boruta,20,tqwt_energy_dec_27 (TQWT),0.01610763888888889,0.00920892834208269
baseline_female,Boruta,20,tqwt_TKEO_mean_dec_13 (TQWT),0.015569444444444443,0.009914041510410069
baseline_female,Boruta,20,tqwt_TKEO_mean_dec_12 (TQWT),0.015416666666666665,0.014429909517257413
baseline_female,Boruta,20,std_7th_delta (MFCC),0.014789832285115306,0.010258639748601502
baseline_female,Boruta,20,apq11Shimmer (Baseline),0.01430769230769231,0.009599598541204322
baseline_female,Boruta,20,tqwt_entropy_log_dec_11 (TQWT),0.014172222222222223,0.011349472333008212
baseline_female,Boruta,20,tqwt_stdValue_dec_11 (TQWT),0.014067307692307693,0.010869423405950884
baseline_female,Boruta,20,tqwt_energy_dec_11 (TQWT),0.013832638888888887,0.015746897578164644
baseline_female,Boruta,20,std_12th_delta_delta (MFCC),0.013696581196581197,0.012963422389566735
baseline_female,Boruta,20,std_11th_delta_delta (MFCC),0.012205128205128205,0.012113339309743999
baseline_female,Boruta,20,std_8th_delta_delta (MFCC),0.012027777777777781,0.00956634620457221
baseline_female,Boruta,20,tqwt_stdValue_dec_12 (TQWT),0.011968253968253968,0.009918476715194958
baseline_female,Boruta,20,std_9th_delta (MFCC),0.01160063752276867,0.010983291428904094
baseline_female,Boruta,20,tqwt_entropy_shannon_dec_11 (TQWT),0.011349358974358974,0.011598383567486882
baseline_female,Boruta,20,std_12th_delta (MFCC),0.011226495726495726,0.008379223186631396
baseline_female,Boruta,20,std_8th_delta (MFCC),0.010454166666666669,0.00947777410572072
baseline_female,Boruta,20,tqwt_entropy_shannon_dec_13 (TQWT),0.009524305555555557,0.006506042797899573
baseline_female,Boruta,20,std_11th_delta (MFCC),0.008854700854700854,0.009160637882663325
baseline_female,Boruta,20,std_10th_delta_delta (MFCC),0.00875079365079365,0.006881994004092693
baseline_female,Boruta,20,tqwt_stdValue_dec_13 (TQWT),0.0072743055555555556,0.0067232957962057695
baseline_female,Boruta,20,tqwt_TKEO_std_dec_11 (TQWT),0.006867521367521367,0.007833338319575578
baseline_female,Boruta,20,std_Log_energy (MFCC),0.005570512820512821,0.0048173461388341145
baseline,Boruta,30,std_delta_delta_log_energy (MFCC),0.026856040564373903,0.026108106437300247
baseline,Boruta,30,tqwt_energy_dec_26 (TQWT),0.02634878587196468,0.019560073907603497
baseline,Boruta,30,tqwt_kurtosisValue_dec_26 (TQWT),0.023887799564270156,0.016255046787890838
baseline,Boruta,30,tqwt_TKEO_std_dec_19 (TQWT),0.021700435729847495,0.01866099106500479
baseline,Boruta,30,tqwt_kurtosisValue_dec_20 (TQWT),0.02028758169934641,0.01631327352240671
baseline,Boruta,30,std_delta_log_energy (MFCC),0.01909215167548501,0.018094882054628877
baseline,Boruta,30,std_6th_delta_delta (MFCC),0.019081569664902997,0.014863651724280882
baseline,Boruta,30,tqwt_entropy_log_dec_33 (TQWT),0.018435555555555556,0.013079516273957759
baseline,Boruta,30,tqwt_entropy_log_dec_12 (TQWT),0.017163073521282476,0.014601111169541868
baseline,Boruta,30,tqwt_entropy_log_dec_27 (TQWT),0.016690749863163653,0.01602708565526665
baseline,Boruta,30,std_7th_delta_delta (MFCC),0.016623897707231043,0.008967282155794705
baseline,Boruta,30,mean_MFCC_2nd_coef (MFCC),0.016437389770723107,0.01554704852655397
baseline,Boruta,30,tqwt_kurtosisValue_dec_18 (TQWT),0.015831880900508355,0.011546143856866895
baseline,Boruta,30,tqwt_entropy_log_dec_35 (TQWT),0.015820132013201326,0.01850210322305027
baseline,Boruta,30,DFA (Baseline),0.014672113289760348,0.009781763717534659
baseline,Boruta,30,tqwt_entropy_log_dec_26 (TQWT),0.014343137254901961,0.013675118205307644
baseline,Boruta,30,std_6th_delta (MFCC),0.014163902708678825,0.012116014029598065
baseline,Boruta,30,std_9th_delta_delta (MFCC),0.014059082892416227,0.012585315904091407
baseline,Boruta,30,std_4th_delta_delta (MFCC),0.01348111111111111,0.013205871977478733
baseline,Boruta,30,locAbsJitter (Baseline),0.013311546840958609,0.007918990720976373
baseline,Boruta,30,tqwt_entropy_log_dec_34 (TQWT),0.013051111111111112,0.01599620045614145
baseline,Boruta,30,std_7th_delta (MFCC),0.012866224433388612,0.007950908101236016
baseline,Boruta,30,tqwt_TKEO_std_dec_12 (TQWT),0.01194113756613757,0.011756526692929575
baseline,Boruta,30,tqwt_energy_dec_11 (TQWT),0.011464814814814817,0.012537404921891895
baseline,Boruta,30,GQ_std_cycle_open (Vocal Fold),0.010795206971677558,0.008833964242861843
baseline,Boruta,30,tqwt_entropy_log_dec_11 (TQWT),0.010312880044223328,0.00876303258394896
baseline,Boruta,30,tqwt_TKEO_mean_dec_12 (TQWT),0.009909894969596458,0.009421735066581179
baseline,Boruta,30,tqwt_stdValue_dec_12 (TQWT),0.009875069098949694,0.00973380754819067
baseline,Boruta,30,tqwt_TKEO_std_dec_13 (TQWT),0.009787581699346402,0.009169342418367683
baseline,Boruta,30,std_11th_delta_delta (MFCC),0.009373068432671081,0.00791952770711194
baseline,Boruta,30,tqwt_stdValue_dec_11 (TQWT),0.009369541182974016,0.008210896063593579
baseline,Boruta,30,tqwt_TKEO_mean_dec_13 (TQWT),0.008763616557734204,0.006811572496523585
baseline,Boruta,30,tqwt_energy_dec_27 (TQWT),0.00875108932461874,0.008875040659893545
baseline,Boruta,30,std_8th_delta_delta (MFCC),0.008730379188712521,0.006651358037366143
baseline,Boruta,30,tqwt_maxValue_dec_11 (TQWT),0.008382352941176471,0.007539512931612893
baseline,Boruta,30,std_4th_delta (MFCC),0.008378987898789877,0.005941354488596132
baseline,Boruta,30,tqwt_stdValue_dec_13 (TQWT),0.008281045751633988,0.0056591949770349575
baseline,Boruta,30,tqwt_entropy_shannon_dec_12 (TQWT),0.007882531785516858,0.006865808416690939
baseline,Boruta,30,std_9th_delta (MFCC),0.00787037037037037,0.005907848469151999
baseline,Boruta,30,tqwt_energy_dec_12 (TQWT),0.0073016924208977214,0.009374290118286466
baseline,Boruta,30,minIntensity (Intensity),0.007290555555555555,0.006413295866183915
baseline,Boruta,30,tqwt_maxValue_dec_12 (TQWT),0.007228333333333334,0.005675053878966376
baseline,Boruta,30,tqwt_entropy_shannon_dec_11 (TQWT),0.007207070707070708,0.0048491561587368425
baseline,Boruta,30,std_8th_delta (MFCC),0.006800442233278055,0.006540400032393151
baseline,Boruta,30,tqwt_TKEO_std_dec_11 (TQWT),0.0067053872053872065,0.00900594653448892
baseline,Boruta,30,tqwt_TKEO_mean_dec_11 (TQWT),0.00669888888888889,0.007285554559869974
baseline,Boruta,30,apq11Shimmer (Baseline),0.006697167755991285,0.0060248764852453415
baseline,Boruta,30,std_12th_delta_delta (MFCC),0.006643246187363835,0.0063587565480645435
baseline,Boruta,30,std_10th_delta_delta (MFCC),0.006442901234567902,0.005558526217048133
baseline,Boruta,30,tqwt_entropy_log_dec_13 (TQWT),0.005749455337690633,0.0048599585837030964
baseline,Boruta,30,std_Log_energy (MFCC),0.005379767827529022,0.006870658110907371
baseline,Boruta,30,tqwt_entropy_shannon_dec_13 (TQWT),0.005336601307189542,0.004255520605561088
baseline,Boruta,30,tqwt_minValue_dec_12 (TQWT),0.00501692420897719,0.0052806401441260215
baseline,Boruta,30,std_12th_delta (MFCC),0.0048017429193899785,0.004719653432318314
baseline,Boruta,30,std_11th_delta (MFCC),0.004501089324618735,0.00417282425413023
baseline,Boruta,30,tqwt_entropy_log_dec_28 (TQWT),0.00430718954248366,0.004055315516125534
baseline,Boruta,30,std_MFCC_8th_coef (MFCC),0.004058956916099773,0.0027704410300844174
baseline_male,Boruta,30,tqwt_TKEO_std_dec_19 (TQWT),0.02948067632850241,0.024160775756518416
