Dataset,Method,N_Features,Classifier,Outer_Fold,Inner_Fold,Split,MCC,F1,Sensitivity,Specificity,BACC,Accuracy
male,mRMR,10,SVM_RBF,1,3,val,0.145910923101986,0.8363636363636364,0.8214285714285714,0.3333333333333333,0.5773809523809523,0.7352941176470589
male,mRMR,10,SVM_RBF,1,3,train,0.9523038333920102,0.9911504424778761,0.9824561403508771,1.0,0.9912280701754386,0.9855072463768116
male,mRMR,10,RandomForest_TUNED,1,3,val,0.24346971907218834,0.8771929824561403,0.8928571428571429,0.3333333333333333,0.6130952380952381,0.7941176470588235
male,mRMR,10,RandomForest_TUNED,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,AdaBoost_TUNED,1,3,val,0.19047619047619047,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.5952380952380952,0.7647058823529411
male,mRMR,10,AdaBoost_TUNED,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,NeuralNetwork_TUNED,1,3,val,0.5275241065994879,0.9090909090909091,0.8928571428571429,0.6666666666666666,0.7797619047619048,0.8529411764705882
male,mRMR,10,NeuralNetwork_TUNED,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,SVM_RBF_TUNED,1,3,val,0.40001280061443273,0.9152542372881356,0.9642857142857143,0.3333333333333333,0.6488095238095238,0.8529411764705882
male,mRMR,10,SVM_RBF_TUNED,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,20,RandomForest,1,0,test,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,20,NeuralNetwork,1,0,test,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,20,NaiveBayes,1,0,test,0.3379781783072063,0.888888888888889,0.9090909090909091,0.4,0.6545454545454545,0.8148148148148148
male,mRMR,20,LogisticRegression,1,0,test,0.37067856345167494,0.8571428571428572,0.8181818181818182,0.6,0.7090909090909091,0.7777777777777778
male,mRMR,20,AdaBoost,1,0,test,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,20,SVM_RBF,1,0,test,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,20,RandomForest_TUNED,1,0,test,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,20,AdaBoost_TUNED,1,0,test,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,20,NeuralNetwork_TUNED,1,0,test,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,20,SVM_RBF_TUNED,1,0,test,-0.09349469900084571,0.875,0.9545454545454546,0.0,0.4772727272727273,0.7777777777777778
